局名,電腦局名,郵遞區號,信箱中文名稱,信箱英文名稱,信箱樣式,儲匯編號,六碼郵遞區號
臺北北門郵局,臺北901支,10099,臺北北門郵局第○○號信箱,P.O.BOX ○○ Taipei BeimenTaipei City  10099Taiwan ( R.O.C.),局內型,000100-6,100900
臺北東門郵局,臺北1支,10099,臺北東門郵局第○○號信,P.O.BOX ○○ Taipei Dongmen Taipei City  10099Taiwan ( R.O.C.),穿牆式,000101-0,100901
臺北漢中街郵局,臺北2支,10899,臺北漢中街郵局第○○號信箱,P.O.BOX ○○ Taipei Hanzhong StreetTaipei City  10899Taiwan ( R.O.C.),局內型,000102-3,108902
臺北西園郵局,臺北3支,10899,臺北西園郵局第○○號信箱,P.O.BOX ○○ Taipei XiyuanTaipei City  10899Taiwan ( R.O.C.),穿牆式,000103-7,108903
臺北南海郵局,臺北5支,10099,臺北南海郵局第○○號信箱,P.O.BOX ○○ Taipei NanhaiTaipei City  10099Taiwan ( R.O.C.),穿牆式,000105-4,100905
臺北螢橋郵局,臺北6支,10099,臺北螢橋郵局第○○號信箱,P.O.BOX ○○ Taipei YingqiaoTaipei City  10099Taiwan ( R.O.C.),穿牆式,000106-8,100906
臺北青田郵局,臺北7支,10699,臺北青田郵局第○○號信箱,P.O.BOX ○○ Taipei QingtianTaipei City  10699Taiwan ( R.O.C.),穿牆式,000107-1,106907
臺北復興橋郵局,臺北8支,10099,臺北復興橋郵局第○○號信箱,P.O.BOX ○○ Taipei Fuxing BridgeTaipei City  10099Taiwan ( R.O.C.),局內型,000108-5,100908
臺北中山郵局,臺北9支,10499,臺北中山郵局第○○號信箱,P.O.BOX ○○ Taipei ZhongshanTaipei City  10499Taiwan ( R.O.C.),局內型,000109-9,104909
臺北迪化街郵局,臺北10支,10399,臺北迪化街郵局第○○號信箱,P.O.BOX ○○ Taipei Dihua StreetTaipei City 10399Taiwan ( R.O.C.),局內型,000110-1,103910
臺北圓環郵局,臺北11支,10399,臺北圓環郵局第○○號信箱,P.O.BOX ○○ Taipei YuanhuanTaipei City  10399Taiwan ( R.O.C.),局內型,000111-4,103911
行政院郵局,臺北12支,10099,行政院郵局第○○號信箱,P.O.BOX ○○ Executive YuanTaipei City  10099Taiwan ( R.O.C.),穿牆式,000112-8,100912
臺北公館郵局,臺北13支,10099,臺北公館郵局第○○號信箱,P.O.BOX ○○ Taipei GongguanTaipei City  10099Taiwan ( R.O.C.),穿牆式,000113-1,100913
國史館郵局,臺北14支,10099,國史館郵局第○○號信箱,P.O.BOX ○○ Academia HistoricaTaipei City  10099Taiwan ( R.O.C.),局內型,000114-5,100914
總統府郵局,臺北15支,10099,尚未開辦信箱,,無,000115-9,
臺北雙連郵局,臺北17支,10499,臺北雙連郵局第○○號信箱,P.O.BOX ○○ Taipei ShuanglianTaipei City  10499Taiwan ( R.O.C.),局內型,000117-6,104917
臺北松山郵局,臺北18支,10599,臺北松山郵局第○○號信箱,P.O.BOX ○○ Taipei Songshan Taipei City  10599Taiwan ( R.O.C.),穿牆式,000118-0,105918
臺北法院郵局,臺北20支,     ,尚未開辦信箱,,無,000120-5,
臺北臺北橋郵局,臺北21支,10399,臺北臺北橋郵局第○○號信箱,P.O.BOX ○○ Taipei Taipei-BridgeTaipei City  10399Taiwan ( R.O.C.),穿牆式,000121-9,103921
臺北師大郵局,臺北22支,10699,臺北師大郵局第○○號信箱,P.O.BOX ○○ Taipei Normal UniversityTaipei City  10699Taiwan ( R.O.C.),穿牆式,000122-2,106922
臺大郵局,臺北23支,10699,臺大郵局第○○號信箱,P.O.BOX ○○ National Taiwan University Taipei City  10699Taiwan ( R.O.C.),穿牆式,000123-6,106923
